TRAVELER_ID,TRAVEL_ID,VISIT_ORDER,VISIT_AREA_NM_NP,VISIT_AREA_NM,VISIT_AREA_TYPE_CD,X_COORD,Y_COORD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION
d003448,d_d003448,6,한라산국립공원,한라산국립공원,TOU,126.5422209,33.37666556,5,5,5
d003448,d_d003448,7,우진해장국,우진해장국,RES,126.5200013,33.5115169,4,4,4
d003448,d_d003448,8,제주의 별,제주의 별,RES,126.5149532,33.51560939,4,2,3
d003448,d_d003448,9,수목원테마파크 아이스뮤지엄,수목원테마파크 아이스뮤지엄,TOU,126.4883977,33.47077732,4,2,3
d003448,d_d003448,10,보스코화덕피자,보스코화덕피자,RES,126.4878591,33.46944615,5,5,5
d003448,d_d003448,11,한라수목원,한라수목원,TOU,126.4932661,33.46978393,3,3,3
d003448,d_d003448,13,제주미담,제주미담,RES,126.5372838,33.50233593,4,2,2
d003448,d_d003448,14,범서프,범서프,TOU,126.5867296,33.52550676,4,3,3
d003448,d_d003448,15,사라봉,사라봉,TOU,126.5447664,33.51795577,4,3,3
d003448,d_d003448,16,정우말가든,정우말가든,RES,126.4975129,33.48027774,4,3,3
2210080001,d_d003448,18,파리바게뜨 제주공항렌터카하우스점,파리바게뜨 제주공항렌터카하우스점,RES,126.4919499,33.50469721,5,5,5
d003448,d_d003448,19,곽지해수욕장,곽지해수욕장,TOU,126.3046732,33.45065751,4,2,4
d003448,d_d003448,20,제주우드펍,제주우드펍,RES,126.4823387,33.51023826,4,4,4
d003448,d_d003448,21,카페도두,카페도두,RES,126.481631,33.51015596,4,4,4
d003448,d_d003448,22,은혜전복,은혜전복,RES,126.3101642,33.46295695,3,2,2
d003452,d_d003452,2,스카이온파이브다이닝,스카이온파이브다이닝,RES,126.3177211,33.30758531,5,5,5
d003452,d_d003452,4,신세계사이먼 제주프리미엄전문점,신세계사이먼 제주프리미엄전문점,TOU,126.317576,33.30663512,3,3,3
d003452,d_d003452,5,스타벅스 제주신화월드R점,스타벅스 제주신화월드R점,RES,126.3163884,33.30580903,4,4,4
d003452,d_d003452,6,신화테마파크,신화테마파크,TOU,126.3152821,33.30475888,3,4,3
d003452,d_d003452,7,오랑우탄면사무소,오랑우탄면사무소,RES,126.2975459,33.23120383,4,4,4
d003453,d_d003453,3,모노클제주,모노클제주,RES,126.6845155,33.27291344,4,4,3
d003453,d_d003453,4,와랑와랑,와랑와랑,RES,126.6765534,33.2722943,5,5,5
d003453,d_d003453,9,휴애리자연생활공원,휴애리자연생활공원,TOU,126.6354098,33.30941046,4,2,3
d003454,d_d003454,2,제주추사관,제주추사관,TOU,126.2782213,33.24997299,5,5,5
d003454,d_d003454,4,가파도 별미식당,가파도 별미식당,RES,126.2600346,33.22150859,4,4,4
d003454,d_d003454,5,보말과풍경,보말과풍경,RES,126.2527698,33.22661519,4,4,4
d003454,d_d003454,8,카페블루하우스모슬포,카페블루하우스모슬포,RES,126.2523648,33.22604474,4,4,4
d003454,d_d003454,9,가파도,가파도,TOU,126.2714103,33.17001212,5,5,5
d003454,d_d003454,10,카페사우다드,카페사우다드,RES,126.2535485,33.22561005,5,5,5
d003454,d_d003454,11,단산,단산,TOU,126.2883335,33.24286074,5,5,5
2210100004,d_d003456,5,파리바게뜨 제주공항렌터카하우스점,파리바게뜨 제주공항렌터카하우스점,RES,126.4919499,33.50469721,5,5,5
d003456,d_d003456,6,춘심이네 본점,춘심이네 본점,RES,126.3705335,33.26448563,5,5,5
d003456,d_d003456,7,마노르블랑,마노르블랑,TOU,126.2949908,33.25481888,5,5,5
d003456,d_d003456,8,유동커피,유동커피,RES,126.5638003,33.24452588,5,5,5
d003456,d_d003456,9,윈드1947카트테마파크,윈드1947카트테마파크,TOU,126.5888268,33.28951947,5,5,5
d003456,d_d003456,13,사려니숲길,사려니숲길,TOU,126.6264973,33.42203283,5,5,5
d003456,d_d003456,15,숙성도 함덕점,숙성도 함덕점,RES,126.6711257,33.542394,5,5,5
d003456,d_d003456,16,제주 함덕 카페 라라떼커피,제주 함덕 카페 라라떼커피,RES,126.6626293,33.54274982,5,5,5
d003456,d_d003456,19,오는정김밥,오는정김밥,RES,126.5676211,33.24959557,5,5,5
d003456,d_d003456,20,탑동광장,탑동광장,TOU,126.5266709,33.51807909,5,5,5
d003456,d_d003456,21,제주동문시장,제주동문시장,TOU,126.5283034,33.51278396,5,5,5
d003458,d_d003458,5,김밥천국 연동점,김밥천국 연동점,RES,126.4903037,33.48773513,4,3,3
d003458,d_d003458,7,애월읍 어음리 갈대밭,애월읍 어음리 갈대밭,TOU,126.3085979,33.22865827,5,5,5
d003458,d_d003458,10,메종글래드 삼다정,메종글래드 삼다정,RES,126.4889411,33.48523391,3,3,3
d003458,d_d003458,12,랜디스도넛 제주애월점,랜디스도넛 제주애월점,RES,126.3114282,33.46117162,4,4,4
2210090002,d_d003458,13,장인의집,장인의집,RES,126.3268372,33.46574245,4,4,4
d003458,d_d003458,14,새별오름,새별오름,TOU,126.3577307,33.36627759,5,5,5
d003458,d_d003458,15,새별오름,새별오름,TOU,126.3577307,33.36627759,4,4,4
d003461,d_d003461,4,그리스신화박물관,그리스신화박물관,TOU,126.3571353,33.34861302,5,4,4
d003461,d_d003461,5,임순이네,임순이네,RES,126.3042112,33.44897797,5,4,4
d003461,d_d003461,6,한담해안산책로,한담해안산책로,TOU,126.3104683,33.45932345,5,5,4
d003461,d_d003461,7,상원가든,상원가든,RES,126.2653104,33.22174542,5,5,5
d003461,d_d003461,9,제주실탄사격장,제주실탄사격장,TOU,126.3856848,33.26367783,5,5,5
d003461,d_d003461,10,용이식당,용이식당,RES,126.5604798,33.25108167,3,3,3
d003461,d_d003461,11,올레길 7코스(서귀포-월평 올레),올레길 7코스(서귀포-월평 올레),TOU,126.5153097,33.23738579,5,5,5
2210100001,d_d003461,13,올레자매밥집,올레자매밥집,RES,126.5655893,33.24294888,4,4,4
d003461,d_d003461,14,이중섭거리,이중섭거리,TOU,126.5640039,33.24761378,4,4,4
d003463,d_d003463,5,다니쉬,다니쉬,RES,126.6636761,33.54212155,5,5,5
d003463,d_d003463,8,상상 함덕점,상상 함덕점,RES,126.6622527,33.54323024,5,5,5
d003463,d_d003463,10,함덕해수욕장,함덕해수욕장,TOU,126.6692389,33.54306157,3,4,4
d003463,d_d003463,11,정주항,정주항,TOU,126.6620351,33.54712091,3,2,2
d003463,d_d003463,13,함덕해수욕장,함덕해수욕장,TOU,126.6692389,33.54306157,4,4,5
d003463,d_d003463,14,치즈앤브레드,치즈앤브레드,RES,126.6750479,33.54156588,5,5,5
d003463,d_d003463,17,보라지붕,보라지붕,RES,126.6701521,33.54075953,3,2,3
d003463,d_d003463,18,정주항,정주항,TOU,126.6620351,33.54712091,2,2,2
2211070007,d_d003463,19,다려도횟집,다려도횟집,RES,126.6677261,33.54111008,5,5,5
d003470,d_d003470,2,은희네해장국 본점,은희네해장국 본점,RES,126.540725,33.50852103,5,5,5
d003470,d_d003470,4,공룡마라탕&꼬치 7호점 중식당,공룡마라탕&꼬치 7호점 중식당,RES,126.5532077,33.25714716,5,5,5
d003470,d_d003470,6,협재해수욕장,협재해수욕장,TOU,126.2391575,33.39386608,5,5,5
d003470,d_d003470,7,일품순두부 한림점,일품순두부 한림점,RES,126.2674483,33.41930243,5,5,5
d003470,d_d003470,8,황우치해변,황우치해변,TOU,126.3169946,33.23708248,3,3,3
d003470,d_d003470,9,예래동 해안길,예래동 해안길,TOU,126.4304183,33.25093539,5,5,5
d003470,d_d003470,12,은희네해장국,은희네해장국,RES,126.4317221,33.25110094,5,5,5
d003470,d_d003470,17,섬오름 해물라면,섬오름 해물라면,RES,126.6558612,33.54980508,5,5,5
d003472,d_d003472,3,파파빌레,파파빌레,TOU,126.6608498,33.46044258,5,5,5
d003472,d_d003472,15,서귀포매일올레시장,서귀포매일올레시장,TOU,126.5632316,33.25015006,3,2,3
d003472,d_d003472,16,스타벅스 서귀포올레점,스타벅스 서귀포올레점,RES,126.5637174,33.24827277,4,2,4
d003472,d_d003472,17,감따남,감따남,TOU,126.494588,33.26205117,3,2,3
d003472,d_d003472,18,신제주보말칼국수 제주본점,신제주보말칼국수 제주본점,RES,126.499935,33.48791501,4,4,4
2210190003,d_d003474,10,고집돌우럭 함덕점,고집돌우럭 함덕점,RES,126.6630989,33.54381497,5,5,5
d003474,d_d003474,11,아침미소목장,아침미소목장,TOU,126.5860158,33.45475699,5,5,5
d003474,d_d003474,18,우동카덴,우동카덴,RES,126.6792945,33.43583724,4,3,4
d003474,d_d003474,19,말로,말로,TOU,126.6721081,33.42747677,4,3,4
d003474,d_d003474,20,쇠소깍,쇠소깍,TOU,126.6224051,33.25424607,5,5,5
d003474,d_d003474,22,서귀포매일올레시장,서귀포매일올레시장,TOU,126.5632316,33.25015006,4,4,4
d003474,d_d003474,25,협재해수욕장,협재해수욕장,TOU,126.2391575,33.39386608,4,4,4
d003474,d_d003474,26,이호테우해수욕장,이호테우해수욕장,TOU,126.4526908,33.4973768,4,4,4
d003477,d_d003477,2,벳내린,벳내린,RES,126.5995401,33.28641228,5,4,4
d003477,d_d003477,4,서귀양품점,서귀양품점,TOU,126.4104544,33.2612146,5,4,4
d003477,d_d003477,5,고근산,고근산,TOU,126.5128719,33.26679186,5,5,5
d003477,d_d003477,6,홍당무떡볶이,홍당무떡볶이,RES,126.561439,33.24768861,4,3,3
d003477,d_d003477,9,삼매봉153,삼매봉153,RES,126.5521687,33.24477127,5,5,5
d003481,d_d003481,2,저지오름반점,저지오름반점,RES,126.2552781,33.33050246,4,4,4
d003481,d_d003481,3,제주현대미술관,제주현대미술관,TOU,126.265585,33.33966276,5,5,5
d003481,d_d003481,5,금능해수욕장,금능해수욕장,TOU,126.2358899,33.39044882,5,5,5
d003481,d_d003481,10,금자매식당,금자매식당,RES,126.1764373,33.30584383,5,5,5
d003481,d_d003481,11,순례자의교회,순례자의교회,TOU,126.1805308,33.31980414,5,5,5
d003481,d_d003481,13,제주맥주 양조장,제주맥주 양조장,TOU,126.2412102,33.35850382,5,5,5
d003481,d_d003481,15,삼일해장국,삼일해장국,RES,126.4151069,33.48564133,5,5,5
d003481,d_d003481,16,새별오름,새별오름,TOU,126.3577307,33.36627759,5,5,5
d003501,d_d003501,6,델문도,델문도,RES,126.668724,33.54370934,5,5,5
d003504,d_d003504,2,제주901,제주901,TOU,126.4863256,33.4529388,5,5,5
d003504,d_d003504,4,인더그린,인더그린,RES,126.4858062,33.47296198,3,2,2
d003504,d_d003504,5,제주동문재래시장,제주동문재래시장,TOU,126.5260174,33.51158514,3,2,2
d003504,d_d003504,7,누옥,누옥,RES,126.528739,33.50827046,4,4,4
d003507,d_d003507,7,한라산둘레길 안내센터,한라산둘레길 안내센터,TOU,126.4726211,33.30867109,5,5,5
d003507,d_d003507,12,한라산국립공원,한라산국립공원,TOU,126.5422209,33.37666556,5,5,5
d003507,d_d003507,15,섬돼지,섬돼지,RES,126.5124813,33.25075581,5,5,5
d003507,d_d003507,17,중문수두리보말칼국수,중문수두리보말칼국수,RES,126.4249994,33.25156774,5,5,5
d003507,d_d003507,18,중문색달해수욕장,중문색달해수욕장,TOU,126.4114987,33.24503815,5,5,5
d003507,d_d003507,19,허니문하우스,허니문하우스,RES,126.5787127,33.24415532,3,3,3
d003507,d_d003507,20,오는정김밥,오는정김밥,RES,126.5676211,33.24959557,5,4,4
d003507,d_d003507,21,마노르블랑,마노르블랑,TOU,126.2949908,33.25481888,5,5,5
d003507,d_d003507,22,편백돈나무,편백돈나무,RES,126.3297517,33.24885487,5,5,5
d003507,d_d003507,24,용두암,용두암,TOU,126.5119571,33.51611062,5,5,5
d003507,d_d003507,25,제주로컬푸드 연동점,제주로컬푸드 연동점,TOU,126.4815566,33.49392613,5,5,5
d003510,d_d003510,5,제주동문재래시장,제주동문재래시장,TOU,126.5260174,33.51158514,4,4,4
d003510,d_d003510,8,스타벅스 제주시청점,스타벅스 제주시청점,RES,126.5295702,33.5004487,3,3,3
d003510,d_d003510,10,협재해수욕장,협재해수욕장,TOU,126.2391575,33.39386608,5,5,5
d003510,d_d003510,12,로라,로라,TOU,126.2428545,33.39590103,3,4,3
d003510,d_d003510,13,스시무사,스시무사,RES,126.2776084,33.44031668,5,5,5
d003510,d_d003510,15,올레길 15-B코스(한림-고내 올레),올레길 15-B코스(한림-고내 올레),TOU,126.2967484,33.4469668,5,5,5
d003510,d_d003510,16,곽지해수욕장,곽지해수욕장,TOU,126.3046732,33.45065751,5,5,4
d003510,d_d003510,17,다이소 제주하귀점,다이소 제주하귀점,TOU,126.408685,33.48414037,4,4,4
d003510,d_d003510,19,곽지해수욕장,곽지해수욕장,TOU,126.3046732,33.45065751,5,5,5
d003510,d_d003510,23,도두동무지개해안도로,도두동무지개해안도로,TOU,126.4713384,33.50911801,5,5,5
d003510,d_d003510,24,김희선제주몸국,김희선제주몸국,RES,126.4980796,33.51855798,5,5,5
d003517,d_d003517,3,산방식당 함덕점,산방식당 함덕점,RES,126.6734775,33.54115603,4,4,4
d003517,d_d003517,4,함덕해수욕장,함덕해수욕장,TOU,126.6692389,33.54306157,5,5,5
d003517,d_d003517,5,싯디,싯디,RES,126.6639821,33.54261104,5,4,4
d003517,d_d003517,7,상상 함덕점,상상 함덕점,RES,126.6622527,33.54323024,4,5,4
d003517,d_d003517,8,선물고팡 함덕점,선물고팡 함덕점,TOU,126.6630989,33.54381497,4,3,3
d003517,d_d003517,9,함덕해수욕장,함덕해수욕장,TOU,126.6692389,33.54306157,5,5,5
d003517,d_d003517,12,순풍해장국 함덕본점,순풍해장국 함덕본점,RES,126.6739776,33.53986807,5,5,5
d003517,d_d003517,13,스타벅스 제주함덕점,스타벅스 제주함덕점,RES,126.6685692,33.54251161,5,5,5
d003517,d_d003517,14,떡하니,떡하니,RES,126.5343765,33.49097037,5,4,4
d003517,d_d003517,17,갖장이의작업실,갖장이의작업실,TOU,126.6960732,33.31261934,5,5,5
d003517,d_d003517,20,취향의섬 키친,취향의섬 키친,RES,126.6897913,33.27434769,4,4,4
d003517,d_d003517,21,올드패션,올드패션,RES,126.6882961,33.27527263,5,5,5
d003517,d_d003517,22,갖장이의작업실,갖장이의작업실,TOU,126.6960732,33.31261934,5,5,5
